	MSC-Cont-1	MSC-Cont-2	MSC-Cont-3	MSC-LPSH-1	MSC-LPSH-2	MSC-LPSH-3
CXCL8	9.065940381	9.128400572	9.261330151	13.30428115	13.13230232	13.2081163
IFIT2	7.112886625	7.007450444	7.122515638	11.50794445	11.49195728	11.36974418
IFIT3	7.070378873	6.896401849	7.083728619	11.02367544	11.02280988	10.92417691
CXCL1	5.830420404	5.64683192	5.898654383	8.721599457	8.945565372	8.860485886
IFIT1	7.11499582	7.040439125	7.233330479	10.8416635	10.77958121	10.76642741
TNFAIP2	6.253645517	6.280367232	6.398675733	9.195455814	9.375178579	9.175962511
OASL	5.408441396	5.241678416	5.404029694	7.982142863	7.921776626	8.063899336
CXCL10	5.067021528	4.88463532	5.013901987	7.825695595	7.6574503	7.622044069
CXCL3	5.126678943	4.934596409	5.09900143	7.50490129	7.732222276	7.656941722
MX1	5.220122308	5.117547227	5.188755778	7.686033021	7.835137386	7.564900578
GCH1	5.380100768	5.323120577	5.164882062	7.654589046	7.647313529	7.674695646
SOD2	8.857488563	8.79535784	8.798481724	11.65265758	11.56278573	11.579626
IRF1	5.65166409	5.462511669	5.760251405	8.058733039	8.082744433	8.168953683
ISG15	6.030440366	5.965574334	6.053689303	8.456546071	8.617357094	8.651704111
CCL5	4.971981426	4.821715226	4.920305534	6.937643147	7.067344346	7.225349734
CCL20	5.889657401	5.983776772	5.977714926	8.728702593	8.54116543	8.495771894
OAS1	4.601130513	4.470426502	4.619295615	6.750384797	6.809349234	6.550187966
IL1A	5.097418565	4.935766137	5.042759699	7.35572808	7.350447664	7.40173614
MX2	4.366666085	4.216321055	4.391960485	6.446028157	6.453931422	6.469878684
DDX58	6.533431775	6.542138205	6.654349177	9.676391701	9.615530432	9.615272604
TRAF1	6.451182763	6.341989165	6.376982352	8.95125048	8.844891297	8.900371645
VCAM1	5.761201957	5.604568242	5.63198079	8.258305511	8.188901598	7.943321674
GBP4	4.562204144	4.40397568	4.549351668	6.643933043	6.488787336	6.624381966
MMP1	5.059026101	4.918053025	5.030903299	7.487695636	7.345111582	7.120298331
SELE	4.295826597	4.144146972	4.252066534	6.42091902	6.119731042	6.297240857
CXCL2	4.587425938	4.424907936	4.540343034	6.308669023	6.471767543	6.338918559
OAS2	5.861401579	5.625088878	5.810538875	7.98663903	8.011354097	7.959953485
MMP3	4.411694119	4.350811981	4.40159074	6.261106235	6.185926949	6.140411973
HELZ2	5.65700096	5.696520218	5.937302245	7.90543143	7.974210826	7.959488226
CSF1	6.303212075	6.152802732	6.256745839	8.45577546	8.458844717	8.314973878
ZC3H12A	5.443287906	5.379831485	5.69832598	7.420517592	7.5173659	7.453902514
HERC6	4.204250081	4.095085999	4.198698493	5.78671173	6.09133909	5.976782905
TSLP	6.872756484	6.845167677	6.782049542	9.435032123	9.234739719	9.132238933
SLC7A2	5.599566985	5.72154714	5.865194869	7.818041203	7.632414701	7.70764787
PIK3R3	6.267789857	6.221057144	6.251689688	8.340795284	8.15833522	8.250456882
IL6	6.386105188	6.333986802	6.404917826	8.398661598	8.330561956	8.379393211
CCL2	9.642593091	9.624671408	9.449272977	11.76708283	11.63036351	11.62764352
GBP1	5.967011429	5.989803896	5.930321146	7.980248938	7.92680567	7.889699285
EREG	6.272313447	6.269150793	6.474057147	8.485034171	8.207361783	8.228428541
OAS3	4.471736301	4.310819792	4.392877119	5.805927407	6.030605232	5.98477087
TNFAIP6	4.222909994	4.044329577	4.180722151	5.862428468	5.613522035	5.84292305
IFI44	6.034124231	5.935467765	6.144554556	8.068674641	8.134624757	8.202815061
CMPK2	3.662467474	3.589707742	3.631098359	5.09844298	5.044399049	5.014825905
TNIP3	4.98925687	4.744412907	4.761746135	6.920982394	6.505226002	6.607123345
DDX60L	5.14995976	5.071771857	5.206090467	6.834257325	6.903745233	6.956644303
USP18	4.205407089	4.217290393	4.266124347	5.519330739	5.83654475	5.819564442
PARP14	6.404330439	6.494871692	6.504727816	8.643854657	8.510125009	8.428446506
C1QTNF1	5.641279295	5.408380062	5.669276561	7.248059819	7.299521186	7.332400969
BIRC3	5.448134283	5.274208757	5.338735274	7.525919976	7.435323099	7.070449208
SERPINB2	8.246720087	8.35895653	8.308251224	10.3463187	10.2550312	10.14635228
