	MSC-Cont-1	MSC-Cont-2	MSC-Cont-3	MSC-LPSL-1	MSC-LPSL-2	MSC-LPSL-3
CXCL8	9.065940381	9.128400572	9.261330151	13.39815237	13.30773618	12.90573784
CXCL1	5.830420404	5.64683192	5.898654383	9.050051675	9.001193965	9.310871266
CXCL3	5.126678943	4.934596409	5.09900143	7.949781152	7.853215258	8.390671944
IFIT2	7.112886625	7.007450444	7.122515638	10.69076237	10.42873524	9.625775192
TNFAIP2	6.253645517	6.280367232	6.398675733	9.093083649	9.274776872	9.403835927
IFIT3	7.070378873	6.896401849	7.083728619	10.41823482	10.3026531	9.357627659
CXCL2	4.587425938	4.424907936	4.540343034	6.56966939	6.780618376	6.722946087
CCL5	4.971981426	4.821715226	4.920305534	6.975556263	7.061727794	7.400475588
TRAF1	6.451182763	6.341989165	6.376982352	8.842135824	8.965248518	9.27516998
OASL	5.408441396	5.241678416	5.404029694	7.37301645	7.427100976	7.809126546
IFIT1	7.11499582	7.040439125	7.233330479	10.13810453	9.897260629	9.267162887
IL1A	5.097418565	4.935766137	5.042759699	7.50810396	7.491672824	6.876211005
SOD2	8.857488563	8.79535784	8.798481724	11.57963457	11.50952889	11.18207996
CCL20	5.889657401	5.983776772	5.977714926	8.612809944	8.652350977	8.099926731
IRF1	5.65166409	5.462511669	5.760251405	7.842688357	7.791504043	8.120533683
MMP1	5.059026101	4.918053025	5.030903299	7.397882902	7.490913597	6.777745495
GCH1	5.380100768	5.323120577	5.164882062	7.442733117	7.369051864	7.270609731
MMP3	4.411694119	4.350811981	4.40159074	6.481927775	6.328835321	6.162781042
VCAM1	5.761201957	5.604568242	5.63198079	8.053568013	8.178302575	7.432231467
SELE	4.295826597	4.144146972	4.252066534	6.36378946	6.248241529	5.725163841
ISG15	6.030440366	5.965574334	6.053689303	7.972145945	7.990180736	8.429768847
ZC3H12A	5.443287906	5.379831485	5.69832598	7.46131112	7.617346247	7.546898713
CXCL10	5.067021528	4.88463532	5.013901987	7.042278303	6.920888877	6.271241908
TSLP	6.872756484	6.845167677	6.782049542	9.57772969	9.368056703	8.555941254
CSF1	6.303212075	6.152802732	6.256745839	8.057646897	8.244631437	8.510038906
CCL2	9.642593091	9.624671408	9.449272977	11.67685016	11.56209421	11.72569987
SERPINB2	8.246720087	8.35895653	8.308251224	10.50755029	10.48142485	10.20964294
MX1	5.220122308	5.117547227	5.188755778	6.81768115	7.002705193	6.742092421
OAS1	4.601130513	4.470426502	4.619295615	5.886225808	5.879256439	6.162239955
EREG	6.272313447	6.269150793	6.474057147	8.343286034	8.402821106	7.967615204
HELZ2	5.65700096	5.696520218	5.937302245	7.285895389	7.632573647	7.668499492
C1QTNF1	5.641279295	5.408380062	5.669276561	7.198300441	7.270390379	7.525341508
IL6	6.386105188	6.333986802	6.404917826	8.225454366	8.208997004	8.042904058
MAP3K8	5.006477013	4.809341361	4.948875124	6.511843229	6.649219616	6.395223347
CXCL6	4.333543626	4.250222819	4.455340482	5.857944444	5.77503774	5.739111484
IRAK2	5.568161229	5.280164383	5.438282944	7.133447275	7.003678318	7.257566829
OAS2	5.861401579	5.625088878	5.810538875	7.516535378	7.406488576	7.251179526
DDX58	6.533431775	6.542138205	6.654349177	8.953251228	8.920629699	7.860851201
SLC7A2	5.599566985	5.72154714	5.865194869	7.551661006	7.46704055	7.181128193
NFKBIA	7.081002697	6.855811668	6.809502734	8.711974836	8.712518957	8.739370388
MMP12	3.969499543	3.84201489	3.932744254	5.59335376	5.565535628	4.766316302
AMPD3	5.163424394	4.956324768	5.028183636	6.504775685	6.647083968	6.431844338
PIK3R3	6.267789857	6.221057144	6.251689688	7.997764127	7.88115973	7.757449724
RNF19B	6.10571719	5.962575347	6.150200124	7.695180476	7.674195902	7.81521894
TNFAIP6	4.222909994	4.044329577	4.180722151	5.822113591	5.678841659	5.056691664
BCL2A1	4.404505031	4.24493078	4.290829402	6.08206728	5.989124729	5.38031614
GBP4	4.562204144	4.40397568	4.549351668	5.867571124	5.658935954	5.74002588
IL32	4.336617757	4.247857029	4.359006409	5.599818738	5.505358084	5.77312564
TIFA	4.999941346	4.80580041	4.994218748	6.364112448	6.432450106	6.209498791
MX2	4.366666085	4.216321055	4.391960485	5.654212043	5.421843254	5.491400052
