	MSC-Cont-1	MSC-Cont-2	MSC-Cont-3	MSC-Poly-1	MSC-Poly-2	MSC-Poly-3
IFIT2	7.112886625	7.007450444	7.122515638	10.69051363	10.6925439	10.93191797
CXCL8	9.065940381	9.128400572	9.261330151	12.28307472	12.20822895	12.14486412
IFIT3	7.070378873	6.896401849	7.083728619	10.31490768	10.30591696	10.44949432
IL1B	7.011909402	6.952293769	7.123648892	9.245713985	9.188477343	9.132307205
IFIT1	7.11499582	7.040439125	7.233330479	9.78239474	9.785974874	10.0403332
OASL	5.408441396	5.241678416	5.404029694	7.432215322	7.316450925	7.648703488
VCAM1	5.761201957	5.604568242	5.63198079	7.696194682	7.398463058	7.754282101
CXCL1	5.830420404	5.64683192	5.898654383	7.381763113	7.23430746	7.374158152
CXCL10	5.067021528	4.88463532	5.013901987	6.543619491	6.421649821	6.717845757
ICAM1	7.754507724	7.721590655	7.78184631	9.455856543	9.463859602	9.511872228
SOD2	8.857488563	8.79535784	8.798481724	10.68663791	10.71361875	10.70986988
ISG15	6.030440366	5.965574334	6.053689303	7.690735107	7.57256079	7.837765485
IRF1	5.65166409	5.462511669	5.760251405	7.257312323	6.906675957	7.374984345
PMAIP1	5.947288053	5.491655055	5.729475834	7.381945763	7.46197492	7.465080193
CCL5	4.971981426	4.821715226	4.920305534	6.234050978	6.076013906	6.244898445
GBP4	4.562204144	4.40397568	4.549351668	5.452201022	5.66490457	5.997518102
DDX58	6.533431775	6.542138205	6.654349177	8.350417604	8.432928295	8.619836015
TNFAIP2	6.253645517	6.280367232	6.398675733	7.573611195	7.731326944	7.802724923
IFI44	6.034124231	5.935467765	6.144554556	7.668989619	7.766121615	7.87654775
OAS1	4.601130513	4.470426502	4.619295615	5.586559179	5.480321543	5.659400393
MX1	5.220122308	5.117547227	5.188755778	6.111553599	6.226061482	6.637317117
CCL2	9.642593091	9.624671408	9.449272977	11.04410671	11.04600602	11.11476172
IL1A	5.097418565	4.935766137	5.042759699	6.361283202	5.94122004	6.012861455
OAS2	5.861401579	5.625088878	5.810538875	6.883492391	7.053473093	6.959183356
GCH1	5.380100768	5.323120577	5.164882062	6.287557321	6.427973465	6.259017764
GBP1	5.967011429	5.989803896	5.930321146	7.097401625	7.193410617	7.264952009
HELZ2	5.65700096	5.696520218	5.937302245	6.794223437	6.878975574	7.028941548
PIK3R3	6.267789857	6.221057144	6.251689688	7.344580078	7.419510289	7.412205379
TRAF1	6.451182763	6.341989165	6.376982352	7.483946128	7.472007768	7.547091469
BIRC3	5.448134283	5.274208757	5.338735274	6.783803095	6.530205719	6.523389794
CCL20	5.889657401	5.983776772	5.977714926	7.145825234	6.810814553	7.071485189
TNFAIP3	8.752041154	8.873524768	9.023427022	10.20116806	10.1112486	10.05355972
TIFA	4.999941346	4.80580041	4.994218748	5.929220635	5.72320038	5.893878303
MIR155HG	4.411460718	4.318286664	4.399798915	5.21770739	5.341407841	5.109772306
DDX60	5.236171363	5.326918976	5.312490236	6.44896751	6.431956216	6.329693203
NCOA7	6.952326298	6.971505575	6.974955019	8.2107088	8.124068141	8.181984663
NFKBIA	7.081002697	6.855811668	6.809502734	8.010359994	7.954142084	8.070138522
IL6	6.386105188	6.333986802	6.404917826	7.346655796	7.457939817	7.342947944
MX2	4.366666085	4.216321055	4.391960485	4.896161373	4.945272648	5.261756097
TSLP	6.872756484	6.845167677	6.782049542	8.151284639	7.951237177	7.996227786
CXCL2	4.587425938	4.424907936	4.540343034	5.244581184	5.237518264	5.090385669
ZC3H12A	5.443287906	5.379831485	5.69832598	6.461343736	6.355866727	6.308398313
SLC7A2	5.599566985	5.72154714	5.865194869	6.643730084	6.723984695	6.625042397
EREG	6.272313447	6.269150793	6.474057147	7.425083824	7.346593271	7.255928043
OAS3	4.471736301	4.310819792	4.392877119	5.177016928	5.025258903	5.124803869
CXCL6	4.333543626	4.250222819	4.455340482	5.137268879	5.179569544	4.838806216
HERC6	4.204250081	4.095085999	4.198698493	4.81683897	4.763878146	5.023908961
ZC3HAV1	7.378249821	7.3311446	7.48468165	8.431656289	8.355460436	8.573150492
IRAK2	5.568161229	5.280164383	5.438282944	6.276029867	6.270776661	6.254486516
TNIP3	4.98925687	4.744412907	4.761746135	5.810721051	5.66471611	5.579896774
